ID,Name,Category,Progress,Status,Milestone,Owner,Note
1,Container Capacity Management,Business Central,10,InProgress,Study Requirement,TC,Study requirement 
2,Budget Control Extension,Business Central,20,InProgress,Study Requirement,TC,Study requirement  and gap analysis
3,HR Lab,HRMS,85,Coding,Development,TC,Working on the Manpower budgeting
4,HR Lab Mobile Apps,HRMS,50,Coding,Development,TC,
4,Bullseye,CRM,5,Todo,Initialized,TC,Study requirement
5,CryptoTrading,QuantConnect,0,Todo,R&D,TC,Study QuantConnect
6,Car Parking&Dorminitory,Custom,3,Todo,Prospect,TC,On bid
